" "," ",module,Magento_ImportExport
"    All Store Views","    Alle Winkelaanzichten",module,Magento_Search
" (disabled)"," (uitgeschakeld)",module,Magento_CompanyPayment
" (free "," (gratis ",module,Magento_GiftCardAccount
" (no data)"," (geen gegevens)",module,Magento_Support
" - Duplicated"," - Gedupliceerd",module,Magento_Company
" - deleted"," - verwijderd",module,Magento_NegotiableQuote
" - deleted from catalog"," - verwijderd van catalogus",module,Magento_NegotiableQuote
" - removed"," - verwijderd",module,Magento_NegotiableQuote
" Copy"," Kopiëer",module,Magento_Newsletter
" Example: "," Example: ",module,Magento_Customer
" Transaction ID: ""%1"""," Transactie-ID: ""%1""",module,Magento_Sales
" [deleted]"," [verwijderd]",module,Magento_Sales
" after which time it will be reset to its default expiration period. To extend the,module,Magento_NegotiableQuote
lifetime of the quote, update its expiration date.","na die tijd wordt het gereset naar de standaard-vervaltijd. Als u de levensduur van de offerte wilt verlengen, moet u de vervaldatum bijwerken.",module,Magento_NegotiableQuote
" after which time you can’t order the items in the quote. After the expiration,,module,Magento_NegotiableQuote
you’ll have to negotiate the price with the seller again.","na die tijd kunt u de items in de offerte niet bestellen. Na de vervaldatum moet u opnieuw onderhandelen over de prijs met de verkoper.",module,Magento_NegotiableQuote
" and update the shipping address."," and update the shipping address.",module,Magento_NegotiableQuote
" expires on "," verloopt op ",module,Magento_NegotiableQuote
" for more information or "," voor meer informatie of ",module,Magento_Shipping
" has been declined by the seller."," is door de verkoper afgewezen.",module,Magento_NegotiableQuote
" if you are not redirected automatically."," indien u niet automatisch wordt doorgestuurd.",module,Magento_Worldpay
" is not available. You still can process offline actions."," is niet beschikbaar. U kunt nog steeds off line acties verwerken.",module,Magento_Payment
" is required."," is verplicht.",module,Magento_Usps
" item"," item",module,Magento_Checkout
" items"," items",module,Magento_Checkout
" of "," van ",module,Magento_GiftCardAccount
" product(s) require(s) your attention."," product(en) vereisen uw aandacht.",module,Magento_QuickOrder
" submitted by buyer"," verstuurd door koper",module,Magento_NegotiableQuote
" to learn more."," voor meer informatie.",module,Magento_Paypal
" to redeem it.","om in te lossen.",module,Magento_GiftCardAccount
" total)."," totaal).",module,Magento_GiftCardAccount
" unread)"," ongelezen)",module,Magento_AdminNotification
" updated by buyer"," bijgewerkt door koper",module,Magento_NegotiableQuote
"""%1"" cannot contain more than %2 lines.","""%1"" mag niet meer dan %2 regels bevatten.",module,Magento_Eav
"""%1"" contains non-alphabetic characters.","""%1"" bevat niet-alfabetische tekens.",module,Magento_Eav
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" bevat niet-alfabetische of niet-numerieke tekens.",module,Magento_Eav
"""%1"" contains non-numeric characters.","""%1"" bevat niet-numerieke tekens.",module,Magento_Eav
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","""%1"" couponcode is niet toegepast. Je kunt geen korting toepassen op de geselecteerde items",module,Magento_Sales
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat.",module,Magento_Eav
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte.",module,Magento_Eav
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px.",module,Magento_Eav
"""%1"" invalid type entered.","""%s"" ongeldige tekens ingevoerd.",module,Magento_Eav
"""%1"" is a required value.","""%1"" is een vereiste waarde.",module,Magento_Eav
"""%1"" is already present in %2.","""%1"" bestaat al voor %2.",module,Magento_MultipleWishlist
"""%1"" is an empty string.","""%1"" is een lege string.",module,Magento_Eav
"""%1"" is longer than allowed.","""%1"" is langer dan toegestaan.",module,Magento_Rma
"""%1"" is not a valid URL.","""%1"" is geen geldige URL.",module,Magento_Eav
"""%1"" is not a valid date.","""%1"" is not a valid date.",module,Magento_Security
"""%1"" is not a valid email address.","""%s"" is geen geldig e-mailadres.",module,Magento_Eav
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie.",module,Magento_Eav
"""%1"" is not a valid file.","""%1"" is geen geldig bestand.",module,Magento_Eav
"""%1"" is not a valid hostname.","""%s"" is geen geldige hostnaam.",module,Magento_Eav
"""%1"" is not a valid image format","""%1"" is geen geldig formaat voor afbeeldingen",module,Magento_Eav
"""%1"" is not a valid image format.","""%1"" is geen geldig afbeeldingsformaat.",module,Magento_Customer
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn.",module,Magento_Eav
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn.",module,Magento_Eav
"""%1"" must be later than the current date.","""%1"" must be later than the current date.",module,Magento_Security
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1"" prefix is reserved by the system and cannot be used in attribute code names.",module,Magento_Eav
"""%1"" uses too many characters.","""%1"" te veel tekens worden gebruikt.",module,Magento_Eav
"""%1"" was copied to %2.","""%1"" werd naar %2 gekopieerd.",module,Magento_MultipleWishlist
"""%1"" was moved to %2.","""%1"" werd verplaatst naar %2.",module,Magento_MultipleWishlist
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px.",module,Magento_Eav
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again.",module,Magento_Tax
"""%product"" is already present in %wishlist.","""%product"" is already present in %wishlist.",module,Magento_MultipleWishlist
"""Attribute code should be specified","""Attribuutcode moet worden opgegeven",module,Magento_EavGraphQl
"""Creditmemo Document Validation Error(s):\n"" .","""Creditfactuur Document validatie fout(en): \n"".",module,Magento_Sales
"""Email should be specified","""Email moet worden opgegeven",module,Magento_CustomerGraphQl
"""Entity type should be specified","De waarde ""entity type"" moet worden opgegeven",module,Magento_EavGraphQl
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again.",module,Magento_User
"""Invoice Document Validation Error(s):\n"" .","""Factuur Document validatie fout(en): \n"".",module,Magento_Sales
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again.",module,Magento_User
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""Een nieuw Relic account nodig? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Klik hier om er &eacute;&eacute;n te krijgen",module,Magento_NewRelicReporting
"""Page id should be specified","De waarde ""page id"" moet worden opgegeven",module,Magento_CmsGraphQl
"""Per Order"" allows a single handling fee for the entire order. ""Per Package"" allows an individual handling fee for each package.","""Per Order"" staat een enkel verwerkingstarief toe voor de hele order. ""Per pakket"" staat een individueel verwerkingstarief toe voor elk pakket.",module,Magento_Dhl
"""Remember Me"" Default Value","""Onthoud mij"" standaardwaarde",module,Magento_Persistent
"""Shipment Document Validation Error(s):\n"" .","""Verzending Document validatie fout(en): \n"".",module,Magento_Shipping
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Statisch"" definieert de vervaldatum wanneer het saldo toeneemt. ""Dynamic"" heeft geen vervaldatum, maar berekend deze wanneer het saldo gecheckt wordt op vervallen.",module,Magento_Reward
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again.",module,Magento_User
"""file"" parameter must be specified","""bestand"" parameter moet gespecificeerd zijn",module,Magento_Email
"""file"" parameter must be specified and must not be empty","""bestand"" parameter moet gespecificeerd zijn en mag niet leeg zijn",module,Magento_Email
"""id for category should be specified","id voor categorie moet worden opgegeven",module,Magento_CatalogGraphQl
"""identifiers"" of CMS blocks should be specified","""identifiers"" van CMS-blokken moeten worden opgegeven",module,Magento_CmsGraphQl
"""image_type"" value should be specified","De waarde ""image_type"" moet worden opgegeven",module,Magento_CatalogGraphQl
"""input"" value should be specified","De waarde ""input"" moet worden opgegeven",module,Magento_CustomerGraphQl
"""model"" value should be specified","De waarde ""model"" moet worden opgegeven",module,Magento_UrlRewriteGraphQl
"""model"" values should be specified","""model"" values should be specified",module,Magento_QuoteGraphQl
"""option_id"" and ""parent_id"" values should be specified","De waarden van ""option_id"" en ""parent_id"" moeten worden opgegeven",module,Magento_BundleGraphQl
"""path"" value should be specified","De waarde ""path"" moet worden opgegeven",module,Magento_CatalogGraphQl
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again.",module,Magento_Customer
"""sku"" value should be specified","De waarde ""sku"" moet worden opgegeven",module,Magento_BundleGraphQl
"""url"" argument should be specified and not empty","De waarde ""url"" moet worden opgegeven en mag niet leeg zijn",module,Magento_UrlRewriteGraphQl
#,#,module,Magento_Rma
"# of Items (and above)","# Items (en hoger)",module,Magento_OfflineShipping
"# of Items vs. Destination","# Items vs. Bestemming",module,Magento_OfflineShipping
"${ $.visible } out of ${ $.total } visible","${ $.visible } uit ${ $.total } zichtbaar",module,Magento_Ui
%1,%1,module,Magento_Config
"%1 %2","%1 %2",module,Magento_Review
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 waarbij %5 van deze voorwaarden overeenkomen met:",module,Magento_CustomerSegment
"%1 & applied","%1 & toegepast",module,Magento_Logging
"%1 (Default)","%1 (standaard)",module,Magento_Config
"%1 - %2","%1 - %2",module,Magento_Catalog
"%1 - Discounts and Coupons","%1 - Kortingen en coupons",module,Magento_SalesRule
"%1 - Special Products","%1 - Speciale producten",module,Magento_Catalog
"%1 - deleted","%1 - verwijderd",module,Magento_NegotiableQuote
"%1 / %2 rate:","%1 / %2 rate:",module,Magento_Sales
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>",module,Magento_Catalog
"%1 = %2","%1 = %2",module,Magento_Reward
"%1 An empty value is allowed as well.","%1 Een lege waarde is ook toegestaan.",module,Magento_Config
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","% 1 winkelwagen prijs regels gebaseerd op attribuut ""%2"" zijn uitgeschakeld.",module,Magento_SalesRule
"%1 Item","%1 Item",module,Magento_Theme
"%1 Item(s)","%1 Item(s)",module,Magento_Theme
"%1 Items","%1 Items",module,Magento_Catalog
"%1 RMA (s) have been closed.","%1 RMA (s) zijn afgesloten.",module,Magento_Rma
"%1 RMA(s) cannot be closed","%1 RMA(s) kan niet worden gesloten",module,Magento_Rma
"%1 Review(s)","%1 Review(s)",module,Magento_Review
